Year,FIPS_ST,FIPS_CTY,MURDER,RAPE,ROBBERY,AGASSLT,FRAUD,WEAPONS,DUI
ST_1_CT_1_2014,ST_1,ST_1_CT_1,ST_1_CT_1_2014_MD_1,ST_1_CT_1_2014_RP_1,ST_1_CT_1_2014_RB_10,ST_1_CT_1_2014_AG_12,ST_1_CT_1_2014_FR_17,ST_1_CT_1_2014_WP_8,ST_1_CT_1_2014_DUI_84
ST_1_CT_3_2014,ST_1,ST_1_CT_3,ST_1_CT_3_2014_MD_1,ST_1_CT_3_2014_RP_2,ST_1_CT_3_2014_RB_27,ST_1_CT_3_2014_AG_62,ST_1_CT_3_2014_FR_60,ST_1_CT_3_2014_WP_25,ST_1_CT_3_2014_DUI_427
ST_1_CT_5_2014,ST_1,ST_1_CT_5,ST_1_CT_5_2014_MD_0,ST_1_CT_5_2014_RP_0,ST_1_CT_5_2014_RB_6,ST_1_CT_5_2014_AG_8,ST_1_CT_5_2014_FR_7,ST_1_CT_5_2014_WP_3,ST_1_CT_5_2014_DUI_35
ST_1_CT_7_2014,ST_1,ST_1_CT_7,ST_1_CT_7_2014_MD_0,ST_1_CT_7_2014_RP_0,ST_1_CT_7_2014_RB_4,ST_1_CT_7_2014_AG_8,ST_1_CT_7_2014_FR_2,ST_1_CT_7_2014_WP_2,ST_1_CT_7_2014_DUI_19
ST_1_CT_9_2014,ST_1,ST_1_CT_9,ST_1_CT_9_2014_MD_0,ST_1_CT_9_2014_RP_0,ST_1_CT_9_2014_RB_0,ST_1_CT_9_2014_AG_3,ST_1_CT_9_2014_FR_23,ST_1_CT_9_2014_WP_4,ST_1_CT_9_2014_DUI_52
ST_1_CT_11_2014,ST_1,ST_1_CT_11,ST_1_CT_11_2014_MD_0,ST_1_CT_11_2014_RP_0,ST_1_CT_11_2014_RB_4,ST_1_CT_11_2014_AG_11,ST_1_CT_11_2014_FR_6,ST_1_CT_11_2014_WP_9,ST_1_CT_11_2014_DUI_11
ST_1_CT_13_2014,ST_1,ST_1_CT_13,ST_1_CT_13_2014_MD_0,ST_1_CT_13_2014_RP_8,ST_1_CT_13_2014_RB_9,ST_1_CT_13_2014_AG_35,ST_1_CT_13_2014_FR_63,ST_1_CT_13_2014_WP_6,ST_1_CT_13_2014_DUI_31
ST_1_CT_15_2014,ST_1,ST_1_CT_15,ST_1_CT_15_2014_MD_2,ST_1_CT_15_2014_RP_2,ST_1_CT_15_2014_RB_29,ST_1_CT_15_2014_AG_35,ST_1_CT_15_2014_FR_52,ST_1_CT_15_2014_WP_14,ST_1_CT_15_2014_DUI_185
ST_1_CT_17_2014,ST_1,ST_1_CT_17,ST_1_CT_17_2014_MD_3,ST_1_CT_17_2014_RP_3,ST_1_CT_17_2014_RB_9,ST_1_CT_17_2014_AG_23,ST_1_CT_17_2014_FR_31,ST_1_CT_17_2014_WP_15,ST_1_CT_17_2014_DUI_103
ST_1_CT_19_2014,ST_1,ST_1_CT_19,ST_1_CT_19_2014_MD_2,ST_1_CT_19_2014_RP_0,ST_1_CT_19_2014_RB_0,ST_1_CT_19_2014_AG_3,ST_1_CT_19_2014_FR_36,ST_1_CT_19_2014_WP_0,ST_1_CT_19_2014_DUI_25
ST_1_CT_21_2014,ST_1,ST_1_CT_21,ST_1_CT_21_2014_MD_0,ST_1_CT_21_2014_RP_1,ST_1_CT_21_2014_RB_2,ST_1_CT_21_2014_AG_4,ST_1_CT_21_2014_FR_6,ST_1_CT_21_2014_WP_3,ST_1_CT_21_2014_DUI_48
ST_1_CT_23_2014,ST_1,ST_1_CT_23,ST_1_CT_23_2014_MD_0,ST_1_CT_23_2014_RP_0,ST_1_CT_23_2014_RB_0,ST_1_CT_23_2014_AG_12,ST_1_CT_23_2014_FR_16,ST_1_CT_23_2014_WP_2,ST_1_CT_23_2014_DUI_28
