State Name,State Code,County Name,County Code,FIPS Code
New York,ST_36,Suffolk County,ST_36_CT_103,36103
New York,ST_36,New York County,ST_36_CT_61,36061
New York,ST_36,Richmond County,ST_36_CT_85,36085
New York,ST_36,Bronx County,ST_36_CT_5,36005
New York,ST_36,Westchester County,ST_36_CT_119,36119
New York,ST_36,Putnam County,ST_36_CT_79,36079
New York,ST_36,Rockland County,ST_36_CT_87,36087
New York,ST_36,Orange County,ST_36_CT_71,36071
New York,ST_36,Nassau County,ST_36_CT_59,36059
New York,ST_36,Queens County,ST_36_CT_81,36081
New York,ST_36,Kings County,ST_36_CT_47,36047
New York,ST_36,Albany County,ST_36_CT_1,36001
New York,ST_36,Schenectady County,ST_36_CT_93,36093
New York,ST_36,Montgomery County,ST_36_CT_57,36057
New York,ST_36,Greene County,ST_36_CT_39,36039
New York,ST_36,Columbia County,ST_36_CT_21,36021
New York,ST_36,Rensselaer County,ST_36_CT_83,36083
New York,ST_36,Saratoga County,ST_36_CT_91,36091
New York,ST_36,Fulton County,ST_36_CT_35,36035
New York,ST_36,Schoharie County,ST_36_CT_95,36095
New York,ST_36,Otsego County,ST_36_CT_77,36077
New York,ST_36,Hamilton County,ST_36_CT_41,36041
New York,ST_36,Delaware County,ST_36_CT_25,36025
New York,ST_36,Ulster County,ST_36_CT_111,36111
New York,ST_36,Dutchess County,ST_36_CT_27,36027
New York,ST_36,Sullivan County,ST_36_CT_105,36105
New York,ST_36,Warren County,ST_36_CT_113,36113
New York,ST_36,Washington County,ST_36_CT_115,36115
New York,ST_36,Essex County,ST_36_CT_31,36031
New York,ST_36,Clinton County,ST_36_CT_19,36019
New York,ST_36,Franklin County,ST_36_CT_33,36033
New York,ST_36,St. Lawrence County,ST_36_CT_89,36089
New York,ST_36,Onondaga County,ST_36_CT_67,36067
New York,ST_36,Cayuga County,ST_36_CT_11,36011
New York,ST_36,Oswego County,ST_36_CT_75,36075
New York,ST_36,Madison County,ST_36_CT_53,36053
New York,ST_36,Cortland County,ST_36_CT_23,36023
New York,ST_36,Tompkins County,ST_36_CT_109,36109
New York,ST_36,Oneida County,ST_36_CT_65,36065
New York,ST_36,Seneca County,ST_36_CT_99,36099
New York,ST_36,Chenango County,ST_36_CT_17,36017
New York,ST_36,Wayne County,ST_36_CT_117,36117
New York,ST_36,Lewis County,ST_36_CT_49,36049
New York,ST_36,Herkimer County,ST_36_CT_43,36043
New York,ST_36,Jefferson County,ST_36_CT_45,36045
New York,ST_36,Tioga County,ST_36_CT_107,36107
New York,ST_36,Broome County,ST_36_CT_7,36007
New York,ST_36,Erie County,ST_36_CT_29,36029
New York,ST_36,Genesee County,ST_36_CT_37,36037
New York,ST_36,Niagara County,ST_36_CT_63,36063
New York,ST_36,Wyoming County,ST_36_CT_121,36121
New York,ST_36,Allegany County,ST_36_CT_3,36003
New York,ST_36,Cattaraugus County,ST_36_CT_9,36009
New York,ST_36,Chautauqua County,ST_36_CT_13,36013
New York,ST_36,Orleans County,ST_36_CT_73,36073
New York,ST_36,Monroe County,ST_36_CT_55,36055
New York,ST_36,Livingston County,ST_36_CT_51,36051
New York,ST_36,Yates County,ST_36_CT_123,36123
New York,ST_36,Ontario County,ST_36_CT_69,36069
New York,ST_36,Steuben County,ST_36_CT_101,36101
New York,ST_36,Schuyler County,ST_36_CT_97,36097
New York,ST_36,Chemung County,ST_36_CT_15,36015
Puerto Rico,ST_72,Adjuntas Municipio,ST_72_CT_1,72001
Puerto Rico,ST_72,Aguada Municipio,ST_72_CT_3,72003
Puerto Rico,ST_72,Aguadilla Municipio,ST_72_CT_5,72005
Puerto Rico,ST_72,Maricao Municipio,ST_72_CT_93,72093
Puerto Rico,ST_72,Añasco Municipio,ST_72_CT_11,72011
Puerto Rico,ST_72,Utuado Municipio,ST_72_CT_141,72141
Puerto Rico,ST_72,Arecibo Municipio,ST_72_CT_13,72013
Puerto Rico,ST_72,Barceloneta Municipio,ST_72_CT_17,72017
Puerto Rico,ST_72,Cabo Rojo Municipio,ST_72_CT_23,72023
Puerto Rico,ST_72,Peñuelas Municipio,ST_72_CT_111,72111
Puerto Rico,ST_72,Camuy Municipio,ST_72_CT_27,72027
Puerto Rico,ST_72,Lares Municipio,ST_72_CT_81,72081
Puerto Rico,ST_72,San Germán Municipio,ST_72_CT_125,72125
Puerto Rico,ST_72,Sabana Grande Municipio,ST_72_CT_121,72121
Puerto Rico,ST_72,Ciales Municipio,ST_72_CT_39,72039
Puerto Rico,ST_72,Dorado Municipio,ST_72_CT_51,72051
Puerto Rico,ST_72,Guánica Municipio,ST_72_CT_55,72055
Puerto Rico,ST_72,Florida Municipio,ST_72_CT_54,72054
Puerto Rico,ST_72,Guayanilla Municipio,ST_72_CT_59,72059
Puerto Rico,ST_72,Hatillo Municipio,ST_72_CT_65,72065
Puerto Rico,ST_72,Hormigueros Municipio,ST_72_CT_67,72067
Puerto Rico,ST_72,Isabela Municipio,ST_72_CT_71,72071
Puerto Rico,ST_72,Jayuya Municipio,ST_72_CT_73,72073
Puerto Rico,ST_72,Lajas Municipio,ST_72_CT_79,72079
Puerto Rico,ST_72,Las Marías Municipio,ST_72_CT_83,72083
Puerto Rico,ST_72,Manatí Municipio,ST_72_CT_91,72091
Puerto Rico,ST_72,Moca Municipio,ST_72_CT_99,72099
Puerto Rico,ST_72,Rincón Municipio,ST_72_CT_117,72117
Puerto Rico,ST_72,Quebradillas Municipio,ST_72_CT_115,72115
Puerto Rico,ST_72,Mayagüez Municipio,ST_72_CT_97,72097
Puerto Rico,ST_72,San Sebastián Municipio,ST_72_CT_131,72131
Puerto Rico,ST_72,Morovis Municipio,ST_72_CT_101,72101
Puerto Rico,ST_72,Vega Alta Municipio,ST_72_CT_143,72143
Puerto Rico,ST_72,Vega Baja Municipio,ST_72_CT_145,72145
Puerto Rico,ST_72,Yauco Municipio,ST_72_CT_153,72153
Puerto Rico,ST_72,Aguas Buenas Municipio,ST_72_CT_7,72007
Puerto Rico,ST_72,Guayama Municipio,ST_72_CT_57,72057
Puerto Rico,ST_72,Aibonito Municipio,ST_72_CT_9,72009
Puerto Rico,ST_72,Maunabo Municipio,ST_72_CT_95,72095
Puerto Rico,ST_72,Arroyo Municipio,ST_72_CT_15,72015
Puerto Rico,ST_72,Ponce Municipio,ST_72_CT_113,72113
Puerto Rico,ST_72,Naguabo Municipio,ST_72_CT_103,72103
Puerto Rico,ST_72,Naranjito Municipio,ST_72_CT_105,72105
Puerto Rico,ST_72,Orocovis Municipio,ST_72_CT_107,72107
Puerto Rico,ST_72,Río Grande Municipio,ST_72_CT_119,72119
Puerto Rico,ST_72,Patillas Municipio,ST_72_CT_109,72109
Puerto Rico,ST_72,Caguas Municipio,ST_72_CT_25,72025
Puerto Rico,ST_72,Canóvanas Municipio,ST_72_CT_29,72029
Puerto Rico,ST_72,Ceiba Municipio,ST_72_CT_37,72037
Puerto Rico,ST_72,Cayey Municipio,ST_72_CT_35,72035
Puerto Rico,ST_72,Fajardo Municipio,ST_72_CT_53,72053
Puerto Rico,ST_72,Cidra Municipio,ST_72_CT_41,72041
Puerto Rico,ST_72,Humacao Municipio,ST_72_CT_69,72069
Puerto Rico,ST_72,Salinas Municipio,ST_72_CT_123,72123
Puerto Rico,ST_72,San Lorenzo Municipio,ST_72_CT_129,72129
Puerto Rico,ST_72,Santa Isabel Municipio,ST_72_CT_133,72133
Puerto Rico,ST_72,Vieques Municipio,ST_72_CT_147,72147
Puerto Rico,ST_72,Villalba Municipio,ST_72_CT_149,72149
Puerto Rico,ST_72,Yabucoa Municipio,ST_72_CT_151,72151
Puerto Rico,ST_72,Coamo Municipio,ST_72_CT_43,72043
Puerto Rico,ST_72,Las Piedras Municipio,ST_72_CT_85,72085
Puerto Rico,ST_72,Loíza Municipio,ST_72_CT_87,72087
Puerto Rico,ST_72,Luquillo Municipio,ST_72_CT_89,72089
Puerto Rico,ST_72,Culebra Municipio,ST_72_CT_49,72049
Puerto Rico,ST_72,Juncos Municipio,ST_72_CT_77,72077
Puerto Rico,ST_72,Gurabo Municipio,ST_72_CT_63,72063
Puerto Rico,ST_72,Comerío Municipio,ST_72_CT_45,72045
Puerto Rico,ST_72,Corozal Municipio,ST_72_CT_47,72047
Puerto Rico,ST_72,Barranquitas Municipio,ST_72_CT_19,72019
Puerto Rico,ST_72,Juana Díaz Municipio,ST_72_CT_75,72075
Puerto Rico,ST_72,San Juan Municipio,ST_72_CT_127,72127
Puerto Rico,ST_72,Bayamón Municipio,ST_72_CT_21,72021
Puerto Rico,ST_72,Toa Baja Municipio,ST_72_CT_137,72137
Puerto Rico,ST_72,Toa Alta Municipio,ST_72_CT_135,72135
Puerto Rico,ST_72,Cataño Municipio,ST_72_CT_33,72033
Puerto Rico,ST_72,Guaynabo Municipio,ST_72_CT_61,72061
Puerto Rico,ST_72,Trujillo Alto Municipio,ST_72_CT_139,72139
Puerto Rico,ST_72,Carolina Municipio,ST_72_CT_31,72031
Massachusetts,ST_25,Hampden County,ST_25_CT_13,25013
Massachusetts,ST_25,Middlesex County,ST_25_CT_17,25017
Massachusetts,ST_25,Worcester County,ST_25_CT_27,25027
Massachusetts,ST_25,Essex County,ST_25_CT_9,25009
Massachusetts,ST_25,Plymouth County,ST_25_CT_23,25023
Massachusetts,ST_25,Norfolk County,ST_25_CT_21,25021
Massachusetts,ST_25,Bristol County,ST_25_CT_5,25005
Massachusetts,ST_25,Suffolk County,ST_25_CT_25,25025
Massachusetts,ST_25,Barnstable County,ST_25_CT_1,25001
Massachusetts,ST_25,Dukes County,ST_25_CT_7,25007
Massachusetts,ST_25,Nantucket County,ST_25_CT_19,25019
Rhode Island,ST_44,Newport County,ST_44_CT_5,44005
Rhode Island,ST_44,Providence County,ST_44_CT_7,44007
Rhode Island,ST_44,Washington County,ST_44_CT_9,44009
Rhode Island,ST_44,Bristol County,ST_44_CT_1,44001
Rhode Island,ST_44,Kent County,ST_44_CT_3,44003
New Hampshire,ST_33,Hillsborough County,ST_33_CT_11,33011
New Hampshire,ST_33,Rockingham County,ST_33_CT_15,33015
New Hampshire,ST_33,Merrimack County,ST_33_CT_13,33013
New Hampshire,ST_33,Grafton County,ST_33_CT_9,33009
New Hampshire,ST_33,Belknap County,ST_33_CT_1,33001
New Hampshire,ST_33,Carroll County,ST_33_CT_3,33003
New Hampshire,ST_33,Sullivan County,ST_33_CT_19,33019
New Hampshire,ST_33,Cheshire County,ST_33_CT_5,33005
New Hampshire,ST_33,Coos County,ST_33_CT_7,33007
New Hampshire,ST_33,Strafford County,ST_33_CT_17,33017
Maine,ST_23,York County,ST_23_CT_31,23031
Maine,ST_23,Cumberland County,ST_23_CT_5,23005
Maine,ST_23,Sagadahoc County,ST_23_CT_23,23023
Maine,ST_23,Oxford County,ST_23_CT_17,23017
Maine,ST_23,Androscoggin County,ST_23_CT_1,23001
Maine,ST_23,Franklin County,ST_23_CT_7,23007
Maine,ST_23,Kennebec County,ST_23_CT_11,23011
Maine,ST_23,Lincoln County,ST_23_CT_15,23015
Maine,ST_23,Waldo County,ST_23_CT_27,23027
Maine,ST_23,Penobscot County,ST_23_CT_19,23019
Maine,ST_23,Piscataquis County,ST_23_CT_21,23021
Maine,ST_23,Hancock County,ST_23_CT_9,23009
Maine,ST_23,Washington County,ST_23_CT_29,23029
Maine,ST_23,Aroostook County,ST_23_CT_3,23003
Maine,ST_23,Somerset County,ST_23_CT_25,23025
Maine,ST_23,Knox County,ST_23_CT_13,23013
Vermont,ST_50,Windsor County,ST_50_CT_27,50027
Vermont,ST_50,Orange County,ST_50_CT_17,50017
Vermont,ST_50,Caledonia County,ST_50_CT_5,50005
Vermont,ST_50,Windham County,ST_50_CT_25,50025
Vermont,ST_50,Bennington County,ST_50_CT_3,50003
Vermont,ST_50,Chittenden County,ST_50_CT_7,50007
Vermont,ST_50,Grand Isle County,ST_50_CT_13,50013
Vermont,ST_50,Franklin County,ST_50_CT_11,50011
Vermont,ST_50,Lamoille County,ST_50_CT_15,50015
Vermont,ST_50,Addison County,ST_50_CT_1,50001
Vermont,ST_50,Washington County,ST_50_CT_23,50023
Vermont,ST_50,Rutland County,ST_50_CT_21,50021
Vermont,ST_50,Orleans County,ST_50_CT_19,50019
Vermont,ST_50,Essex County,ST_50_CT_9,50009
Connecticut,ST_9,Hartford County,ST_9_CT_3,9003
Connecticut,ST_9,Litchfield County,ST_9_CT_5,9005
Connecticut,ST_9,Tolland County,ST_9_CT_13,9013
Connecticut,ST_9,Windham County,ST_9_CT_15,9015
Connecticut,ST_9,New London County,ST_9_CT_11,9011
Connecticut,ST_9,New Haven County,ST_9_CT_9,9009
